job_title,company_type,industry,country,city,remote_type,min_experience_years,employment_type,company_size,salary
Data Scientist,Startup,Finance,USA,Seattle,Hybrid,5,Full-time,Small,149704.0
Applied Scientist,Research Lab,Healthcare,UK,Birmingham,Onsite,5,Full-time,Large,154384.5
AI Researcher,Research Lab,Retail,Canada,Remote,Remote,2,Full-time,Medium,103288.5
Data Analyst,MNC,Tech,India,Chennai,Onsite,0,Full-time,Small,73759.0
Machine Learning Engineer,Research Lab,Tech,USA,Seattle,Hybrid,5,Full-time,Small,165976.5
AI Researcher,Startup,Healthcare,Australia,Brisbane,Onsite,0,Full-time,Large,66844.5
Data Analyst,Research Lab,Retail,India,Hyderabad,Onsite,0,Full-time,Medium,64031.0
MLOps Engineer,Startup,Tech,India,Remote,Remote,5,Full-time,Small,155767.0
MLOps Engineer,Research Lab,Retail,Canada,Vancouver,Hybrid,0,Full-time,Small,67041.0
MLOps Engineer,Research Lab,Tech,Canada,Remote,Remote,0,Full-time,Medium,64905.5
Applied Scientist,MNC,Healthcare,Canada,Toronto,Hybrid,5,Full-time,Medium,149099.0
MLOps Engineer,Research Lab,Healthcare,Canada,Montreal,Onsite,0,Full-time,Small,73023.5
Data Analyst,MNC,Finance,Australia,Sydney,Onsite,5,Full-time,Medium,159475.0
AI Researcher,MNC,Healthcare,India,Delhi,Onsite,5,Full-time,Small,158156.0
Applied Scientist,Startup,Education,USA,Remote,Remote,2,Full-time,Medium,104546.5
Data Scientist,Startup,Healthcare,India,Remote,Remote,2,Full-time,Large,104038.0
MLOps Engineer,MNC,Education,UK,Manchester,Hybrid,2,Full-time,Medium,107877.0
Data Analyst,Research Lab,Retail,Germany,Hamburg,Hybrid,0,Full-time,Small,69016.5
Applied Scientist,Research Lab,Tech,Germany,Munich,Onsite,5,Full-time,Large,152462.5
MLOps Engineer,Research Lab,Finance,Germany,Remote,Remote,5,Full-time,Medium,157281.0
AI Researcher,MNC,Tech,Australia,Brisbane,Onsite,5,Full-time,Medium,162918.0
Data Analyst,Startup,Retail,Germany,Remote,Remote,2,Full-time,Large,105680.5
AI Researcher,MNC,Finance,Australia,Melbourne,Hybrid,0,Full-time,Large,63115.0
Data Scientist,Startup,Healthcare,UK,Birmingham,Onsite,2,Full-time,Large,101457.0
Applied Scientist,Startup,Healthcare,India,Chennai,Onsite,2,Full-time,Small,105518.0
Data Analyst,Research Lab,Retail,UK,Birmingham,Onsite,5,Full-time,Large,160372.0
Data Scientist,MNC,Tech,USA,Boston,Hybrid,2,Full-time,Large,107735.5
Applied Scientist,MNC,Education,Canada,Vancouver,Onsite,5,Full-time,Small,166003.5
Data Analyst,Startup,Tech,India,Bangalore,Hybrid,2,Full-time,Medium,109247.5
Machine Learning Engineer,MNC,Healthcare,Australia,Melbourne,Hybrid,2,Full-time,Large,104790.5
Data Analyst,Startup,Finance,Canada,Remote,Remote,5,Full-time,Small,165376.0
Data Scientist,Startup,Education,Germany,Remote,Remote,5,Full-time,Medium,157863.0
Machine Learning Engineer,Research Lab,Finance,USA,Remote,Remote,5,Full-time,Small,156751.5
Data Analyst,MNC,Finance,Canada,Toronto,Onsite,2,Full-time,Small,104067.0
Machine Learning Engineer,MNC,Retail,India,Delhi,Onsite,5,Full-time,Large,152373.0
Applied Scientist,Startup,Tech,Canada,Remote,Remote,5,Full-time,Small,153182.0
AI Researcher,MNC,Education,UK,Manchester,Onsite,5,Full-time,Large,163342.5
Data Scientist,Startup,Retail,USA,Seattle,Hybrid,5,Full-time,Large,158908.5
Data Analyst,Research Lab,Healthcare,Germany,Remote,Remote,2,Full-time,Large,106139.5
Data Scientist,Research Lab,Retail,India,Hyderabad,Hybrid,2,Full-time,Medium,104611.0
Data Scientist,Research Lab,Retail,Australia,Melbourne,Hybrid,0,Full-time,Medium,63609.0
MLOps Engineer,Research Lab,Tech,Canada,Montreal,Hybrid,5,Full-time,Large,150267.5
AI Researcher,MNC,Tech,UK,Birmingham,Onsite,2,Full-time,Small,103823.0
Machine Learning Engineer,Startup,Education,Australia,Sydney,Hybrid,5,Full-time,Small,150938.5
AI Researcher,Startup,Tech,UK,Manchester,Hybrid,2,Full-time,Medium,107392.0
Machine Learning Engineer,Startup,Finance,Canada,Remote,Remote,5,Full-time,Large,160810.5
Data Scientist,Startup,Education,Australia,Sydney,Onsite,5,Full-time,Medium,162917.0
Data Analyst,Startup,Retail,USA,Seattle,Hybrid,0,Full-time,Large,69662.5
AI Researcher,Startup,Retail,India,Delhi,Onsite,0,Full-time,Large,67693.0
Machine Learning Engineer,Startup,Finance,India,Remote,Remote,0,Full-time,Large,67563.5
Applied Scientist,Startup,Tech,Australia,Brisbane,Hybrid,0,Full-time,Medium,69643.5
MLOps Engineer,Research Lab,Retail,Canada,Remote,Remote,0,Full-time,Medium,63955.5
Data Analyst,MNC,Healthcare,Germany,Remote,Remote,0,Full-time,Small,61454.5
Data Scientist,Research Lab,Healthcare,Australia,Melbourne,Onsite,5,Full-time,Small,151345.0
Applied Scientist,Research Lab,Finance,India,Bangalore,Onsite,2,Full-time,Small,106225.5
Data Analyst,Research Lab,Finance,Germany,Remote,Remote,2,Full-time,Small,109588.5
Data Scientist,MNC,Education,USA,San Francisco,Hybrid,0,Full-time,Small,64705.5
Data Analyst,Startup,Healthcare,India,Remote,Remote,5,Full-time,Small,158721.5
Data Analyst,Research Lab,Finance,Germany,Berlin,Onsite,0,Full-time,Medium,66297.5
Data Scientist,Research Lab,Retail,Australia,Remote,Remote,5,Full-time,Large,159430.0
Applied Scientist,Research Lab,Tech,Germany,Berlin,Hybrid,0,Full-time,Small,67584.0
Data Scientist,Research Lab,Retail,Germany,Hamburg,Onsite,2,Full-time,Medium,105802.0
Data Analyst,Research Lab,Retail,Germany,Hamburg,Hybrid,2,Full-time,Medium,112183.5
MLOps Engineer,Startup,Healthcare,USA,San Francisco,Onsite,0,Full-time,Medium,68123.0
Data Analyst,Startup,Finance,Australia,Remote,Remote,5,Full-time,Small,163870.0
AI Researcher,Research Lab,Healthcare,India,Hyderabad,Onsite,5,Full-time,Medium,157139.5
Data Analyst,Startup,Healthcare,UK,London,Hybrid,2,Full-time,Medium,110260.0
Data Analyst,MNC,Retail,Germany,Hamburg,Onsite,0,Full-time,Large,64113.5
Machine Learning Engineer,Research Lab,Healthcare,Canada,Remote,Remote,2,Full-time,Small,112599.5
Applied Scientist,Startup,Retail,Australia,Brisbane,Hybrid,0,Full-time,Small,67973.0
AI Researcher,Research Lab,Finance,Australia,Brisbane,Hybrid,2,Full-time,Small,110462.5
Data Scientist,MNC,Education,UK,London,Hybrid,0,Full-time,Small,59354.5
MLOps Engineer,Startup,Healthcare,Australia,Sydney,Onsite,0,Full-time,Small,72915.0
Applied Scientist,Startup,Tech,India,Bangalore,Hybrid,0,Full-time,Large,63177.0
Data Scientist,Research Lab,Education,USA,Seattle,Hybrid,2,Full-time,Small,103095.5
MLOps Engineer,Startup,Tech,UK,Remote,Remote,5,Full-time,Medium,163748.5
MLOps Engineer,MNC,Retail,India,Remote,Remote,5,Full-time,Small,155448.5
MLOps Engineer,MNC,Retail,USA,Remote,Remote,5,Full-time,Small,155547.5
Data Analyst,MNC,Tech,Australia,Sydney,Onsite,0,Full-time,Small,71509.0
Machine Learning Engineer,MNC,Healthcare,USA,Austin,Hybrid,0,Full-time,Medium,74017.0
Data Analyst,MNC,Finance,India,Delhi,Onsite,0,Full-time,Large,65667.0
Applied Scientist,Research Lab,Finance,UK,Remote,Remote,2,Full-time,Medium,113863.0
AI Researcher,Research Lab,Education,Germany,Remote,Remote,0,Full-time,Small,72065.5
MLOps Engineer,Research Lab,Education,India,Hyderabad,Hybrid,5,Full-time,Large,155890.0
MLOps Engineer,Research Lab,Education,Canada,Toronto,Onsite,2,Full-time,Medium,110004.0
Applied Scientist,Research Lab,Finance,UK,Birmingham,Onsite,0,Full-time,Large,62581.0
MLOps Engineer,Research Lab,Education,Germany,Hamburg,Onsite,5,Full-time,Small,156762.0
AI Researcher,MNC,Tech,Canada,Remote,Remote,0,Full-time,Large,73614.5
AI Researcher,Startup,Education,India,Delhi,Onsite,2,Full-time,Small,111876.5
Data Scientist,MNC,Healthcare,Australia,Brisbane,Onsite,5,Full-time,Small,156388.5
MLOps Engineer,MNC,Education,Canada,Toronto,Hybrid,2,Full-time,Small,102314.0
MLOps Engineer,Startup,Tech,Canada,Remote,Remote,2,Full-time,Small,108648.0
Data Analyst,MNC,Tech,Australia,Brisbane,Onsite,0,Full-time,Medium,70602.5
MLOps Engineer,MNC,Tech,Canada,Remote,Remote,0,Full-time,Small,74858.5
Applied Scientist,Startup,Education,UK,Manchester,Onsite,0,Full-time,Large,70403.5
Data Analyst,Research Lab,Healthcare,USA,New York,Onsite,2,Full-time,Large,105054.5
MLOps Engineer,Research Lab,Finance,Australia,Melbourne,Onsite,0,Full-time,Large,61833.0
Data Analyst,MNC,Healthcare,Germany,Remote,Remote,0,Full-time,Small,69548.5
Machine Learning Engineer,Research Lab,Retail,USA,Boston,Hybrid,0,Full-time,Large,65656.0
MLOps Engineer,Startup,Tech,Australia,Melbourne,Hybrid,2,Full-time,Small,112769.0
Applied Scientist,Research Lab,Tech,Canada,Vancouver,Onsite,5,Full-time,Small,156711.5
Machine Learning Engineer,Startup,Healthcare,Australia,Remote,Remote,5,Full-time,Large,154360.0
MLOps Engineer,MNC,Healthcare,India,Pune,Onsite,2,Full-time,Small,113018.0
Machine Learning Engineer,Startup,Healthcare,Canada,Vancouver,Hybrid,0,Full-time,Small,74183.5
Data Scientist,Research Lab,Finance,Australia,Remote,Remote,2,Full-time,Small,100683.0
Applied Scientist,Startup,Education,Canada,Montreal,Hybrid,5,Full-time,Small,161272.5
Applied Scientist,Startup,Education,Australia,Melbourne,Onsite,2,Full-time,Small,113950.0
AI Researcher,Research Lab,Education,UK,London,Onsite,5,Full-time,Medium,155271.0
AI Researcher,Startup,Finance,UK,Remote,Remote,0,Full-time,Medium,71665.0
MLOps Engineer,MNC,Finance,Germany,Frankfurt,Onsite,5,Full-time,Large,165305.5
Data Analyst,Startup,Tech,India,Hyderabad,Hybrid,0,Full-time,Small,63288.0
Applied Scientist,MNC,Finance,Canada,Remote,Remote,5,Full-time,Large,157597.0
Data Scientist,Startup,Education,Australia,Remote,Remote,5,Full-time,Large,161727.5
AI Researcher,Research Lab,Education,Canada,Vancouver,Hybrid,2,Full-time,Medium,110922.5
AI Researcher,Research Lab,Education,Canada,Toronto,Hybrid,2,Full-time,Medium,109061.5
Machine Learning Engineer,Startup,Finance,India,Bangalore,Hybrid,2,Full-time,Small,108997.5
Applied Scientist,MNC,Retail,India,Remote,Remote,5,Full-time,Medium,157372.0
MLOps Engineer,Startup,Retail,India,Hyderabad,Onsite,0,Full-time,Medium,63910.0
Applied Scientist,Research Lab,Finance,Canada,Toronto,Hybrid,5,Full-time,Medium,155805.5
AI Researcher,Research Lab,Education,India,Chennai,Onsite,2,Full-time,Large,104417.5
Applied Scientist,Startup,Education,India,Remote,Remote,0,Full-time,Large,72864.5
Applied Scientist,MNC,Tech,India,Pune,Hybrid,2,Full-time,Small,100802.0
MLOps Engineer,MNC,Tech,Germany,Hamburg,Hybrid,5,Full-time,Small,151959.5
MLOps Engineer,Startup,Finance,USA,Remote,Remote,2,Full-time,Small,104610.0
MLOps Engineer,Research Lab,Education,Australia,Melbourne,Hybrid,2,Full-time,Large,105724.5
AI Researcher,Startup,Retail,India,Remote,Remote,2,Full-time,Small,108835.5
MLOps Engineer,Research Lab,Healthcare,USA,Austin,Onsite,0,Full-time,Large,70456.0
AI Researcher,Startup,Retail,Germany,Munich,Hybrid,0,Full-time,Small,63590.0
Applied Scientist,MNC,Finance,India,Remote,Remote,2,Full-time,Medium,103171.0
AI Researcher,Startup,Tech,USA,Remote,Remote,5,Full-time,Small,162604.5
Applied Scientist,Research Lab,Retail,Germany,Hamburg,Hybrid,0,Full-time,Medium,72907.0
Applied Scientist,Research Lab,Healthcare,USA,Remote,Remote,0,Full-time,Small,71286.0
Applied Scientist,Research Lab,Finance,USA,Seattle,Onsite,2,Full-time,Medium,106766.0
Applied Scientist,Research Lab,Retail,Germany,Hamburg,Hybrid,2,Full-time,Large,112807.5
Data Analyst,Research Lab,Education,Germany,Frankfurt,Hybrid,5,Full-time,Small,162916.0
MLOps Engineer,Startup,Education,Germany,Remote,Remote,5,Full-time,Large,158344.5
MLOps Engineer,Research Lab,Healthcare,USA,New York,Hybrid,0,Full-time,Large,70540.5
MLOps Engineer,MNC,Healthcare,UK,Remote,Remote,0,Full-time,Large,66427.5
AI Researcher,Startup,Healthcare,India,Delhi,Hybrid,5,Full-time,Large,160412.0
Data Analyst,Startup,Retail,Canada,Remote,Remote,0,Full-time,Large,75562.0
Applied Scientist,Startup,Retail,USA,Austin,Onsite,0,Full-time,Small,62936.5
Data Scientist,MNC,Education,Germany,Munich,Onsite,2,Full-time,Medium,104413.0
Data Analyst,MNC,Education,Germany,Remote,Remote,2,Full-time,Medium,100077.0
AI Researcher,Startup,Tech,UK,Manchester,Hybrid,0,Full-time,Small,70537.5
Machine Learning Engineer,Research Lab,Tech,Canada,Remote,Remote,2,Full-time,Large,110136.5
MLOps Engineer,MNC,Finance,USA,San Francisco,Hybrid,0,Full-time,Small,68950.0
AI Researcher,Startup,Education,Germany,Berlin,Hybrid,0,Full-time,Medium,60775.0
Data Analyst,MNC,Education,UK,Remote,Remote,5,Full-time,Small,157556.5
AI Researcher,Startup,Education,India,Hyderabad,Onsite,5,Full-time,Small,163653.0
Data Scientist,Research Lab,Education,Germany,Remote,Remote,5,Full-time,Large,159608.0
Data Scientist,MNC,Tech,India,Hyderabad,Onsite,0,Full-time,Large,66477.5
AI Researcher,MNC,Education,Australia,Remote,Remote,0,Full-time,Large,72952.5
AI Researcher,MNC,Retail,Canada,Montreal,Onsite,0,Full-time,Medium,69734.0
Data Analyst,MNC,Healthcare,UK,Remote,Remote,2,Full-time,Medium,101601.5
Applied Scientist,Research Lab,Finance,Canada,Toronto,Onsite,2,Full-time,Small,109618.5
Data Scientist,Research Lab,Healthcare,India,Delhi,Hybrid,5,Full-time,Medium,155114.0
Data Scientist,Startup,Finance,Canada,Remote,Remote,5,Full-time,Small,158654.0
Data Analyst,Research Lab,Education,India,Remote,Remote,5,Full-time,Medium,151037.5
MLOps Engineer,Research Lab,Tech,Germany,Frankfurt,Hybrid,0,Full-time,Large,73325.0
AI Researcher,Startup,Tech,Australia,Melbourne,Hybrid,5,Full-time,Large,148860.5
Data Scientist,Startup,Healthcare,USA,San Francisco,Onsite,5,Full-time,Large,156784.5
Data Analyst,Research Lab,Tech,Canada,Remote,Remote,0,Full-time,Large,72878.0
Applied Scientist,Research Lab,Retail,Australia,Melbourne,Onsite,5,Full-time,Medium,158786.5
Applied Scientist,Startup,Retail,Australia,Brisbane,Hybrid,0,Full-time,Small,73105.5
MLOps Engineer,Research Lab,Tech,Germany,Hamburg,Hybrid,2,Full-time,Small,107879.0
Applied Scientist,Research Lab,Education,Canada,Montreal,Onsite,2,Full-time,Medium,101723.0
Data Scientist,MNC,Retail,Canada,Vancouver,Hybrid,0,Full-time,Large,70511.0
Data Analyst,Startup,Retail,Australia,Brisbane,Onsite,2,Full-time,Large,111256.5
Data Analyst,MNC,Finance,UK,London,Hybrid,0,Full-time,Large,65523.5
AI Researcher,Startup,Education,India,Bangalore,Onsite,2,Full-time,Medium,108164.0
Data Scientist,Research Lab,Education,Canada,Toronto,Onsite,0,Full-time,Medium,70026.5
AI Researcher,MNC,Education,Australia,Sydney,Onsite,0,Full-time,Medium,75140.5
Data Scientist,Startup,Retail,Australia,Sydney,Hybrid,5,Full-time,Large,162921.5
Data Scientist,Research Lab,Tech,Germany,Frankfurt,Onsite,2,Full-time,Large,110497.5
Data Analyst,Research Lab,Tech,UK,Remote,Remote,0,Full-time,Large,70395.5
AI Researcher,MNC,Education,India,Delhi,Onsite,2,Full-time,Small,106715.0
AI Researcher,MNC,Finance,India,Bangalore,Hybrid,5,Full-time,Large,159176.5
Applied Scientist,MNC,Healthcare,Germany,Hamburg,Onsite,0,Full-time,Large,68737.0
Machine Learning Engineer,MNC,Retail,USA,San Francisco,Onsite,5,Full-time,Large,160088.0
Data Analyst,Research Lab,Retail,UK,Birmingham,Onsite,0,Full-time,Large,65690.0
AI Researcher,MNC,Healthcare,UK,Remote,Remote,2,Full-time,Large,105682.5
Data Scientist,Research Lab,Retail,Canada,Vancouver,Hybrid,5,Full-time,Medium,153974.0
MLOps Engineer,Research Lab,Finance,Germany,Remote,Remote,0,Full-time,Small,66656.0
AI Researcher,Startup,Healthcare,Germany,Frankfurt,Hybrid,5,Full-time,Medium,158494.0
Data Analyst,Startup,Retail,USA,San Francisco,Hybrid,5,Full-time,Small,159415.5
Data Analyst,Research Lab,Retail,USA,Seattle,Onsite,2,Full-time,Medium,107786.0
MLOps Engineer,Startup,Healthcare,Germany,Hamburg,Onsite,2,Full-time,Large,109591.5
Data Analyst,Startup,Tech,Australia,Melbourne,Hybrid,0,Full-time,Large,61197.0
Applied Scientist,Startup,Finance,USA,New York,Hybrid,0,Full-time,Small,73874.5
MLOps Engineer,Research Lab,Retail,India,Bangalore,Onsite,2,Full-time,Large,102135.0
Data Scientist,Startup,Tech,Canada,Remote,Remote,2,Full-time,Medium,114337.5
Data Analyst,MNC,Finance,India,Remote,Remote,2,Full-time,Small,108932.5
Applied Scientist,Research Lab,Finance,Canada,Remote,Remote,5,Full-time,Small,161566.0
Data Analyst,Startup,Tech,Germany,Remote,Remote,0,Full-time,Small,64424.0
Data Analyst,Startup,Retail,India,Remote,Remote,2,Full-time,Medium,108417.0
Machine Learning Engineer,Startup,Retail,Canada,Toronto,Hybrid,2,Full-time,Medium,108108.5
AI Researcher,Startup,Retail,India,Delhi,Hybrid,0,Full-time,Medium,67571.5
Data Scientist,MNC,Retail,UK,London,Onsite,5,Full-time,Small,150831.0
MLOps Engineer,MNC,Finance,Australia,Melbourne,Onsite,0,Full-time,Medium,70039.0
MLOps Engineer,Startup,Education,Australia,Sydney,Onsite,5,Full-time,Small,166008.0
Applied Scientist,Research Lab,Finance,USA,Austin,Hybrid,2,Full-time,Small,115875.5
MLOps Engineer,Research Lab,Tech,Germany,Hamburg,Hybrid,5,Full-time,Small,156544.0
